; Date generated Fri Jul  7 14:01:49 2023
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
;  MEGS-A2 used 2017 140MeV
; 
; *** pointing was not updated for this flight ***
; 
; Version 1_2
; 
;  Day of year=252
;  Lyman-alpha composite v4=6.48e-3 W/m^2
; 
;  F10=101.100, <F10>81day=88.0000
; 
;  Applied 1-AU adjustment 0.985890
; 
;  Solar zenith angle (deg) 31.0500
; 
;  Apogee(km)=293.98
;  at T+280.05 seconds
; MEGS-A Slit 1 to slit 2 crossover occurs at 14.93nm
; MEGS-A Slit 2 to MEGS-B crossover occurs at 37.0000nm
; 
FORMAT = (f7.3,e13.6,f7.3)
 4950 lines
 3 columns : wavelength (nm), irradiance (W/m^2/nm), relative uncertainty (fraction)
  6.000 2.509391e-05  0.238
  6.020 5.541903e-05  0.146
  6.040 6.586897e-05  0.145
  6.060 7.264337e-05  0.133
  6.080 7.761898e-05  0.111
  6.100 7.298154e-05  0.114
  6.120 6.692380e-05  0.124
  6.140 6.507779e-05  0.118
  6.160 6.012553e-05  0.120
  6.180 5.820665e-05  0.115
  6.200 5.799528e-05  0.113
  6.220 6.580090e-05  0.102
  6.240 7.546846e-05  0.102
  6.260 8.259604e-05  0.104
  6.280 8.650049e-05  0.109
  6.300 8.417094e-05  0.105
  6.320 7.572673e-05  0.102
  6.340 6.603921e-05  0.100
  6.360 5.579638e-05  0.095
  6.380 4.747538e-05  0.090
  6.400 4.168283e-05  0.104
  6.420 4.005419e-05  0.106
  6.440 3.562209e-05  0.105
  6.460 3.301093e-05  0.102
  6.480 3.469284e-05  0.100
  6.500 3.784490e-05  0.108
  6.520 4.421771e-05  0.104
  6.540 5.161674e-05  0.091
  6.560 5.475347e-05  0.086
  6.580 5.578767e-05  0.086
  6.600 5.315835e-05  0.087
  6.620 4.700960e-05  0.095
  6.640 4.610613e-05  0.098
  6.660 4.985759e-05  0.093
  6.680 5.404299e-05  0.089
  6.700 5.525208e-05  0.083
  6.720 5.056825e-05  0.083
  6.740 4.109689e-05  0.090
  6.760 3.153695e-05  0.096
  6.780 2.630483e-05  0.111
  6.800 2.586775e-05  0.103
  6.820 2.424836e-05  0.102
  6.840 2.468393e-05  0.093
  6.860 2.817910e-05  0.089
  6.880 3.765038e-05  0.091
